epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,2988.65,1.0049,0.87877,1.21955,0.97412,0.87879,0.94725,0.6838,0.99071,0.78408,1.22903,0.000834333,0.000834333,0.000834333
27,3094.13,1.00742,0.8366,1.21374,0.96578,0.85526,0.95618,0.67163,0.97039,0.80138,1.21321,0.000801027,0.000801027,0.000801027
28,3199.95,0.99627,0.84441,1.22269,0.96424,0.94949,0.98476,0.70515,0.98714,0.71731,1.21042,0.00076772,0.00076772,0.00076772
29,3305.33,0.96869,0.85399,1.19204,0.94012,0.9899,0.99023,0.71059,0.97952,0.71454,1.22084,0.000734414,0.000734414,0.000734414
30,3409.85,0.96211,0.79186,1.18047,0.91267,0.95003,0.97374,0.69708,0.97008,0.71471,1.25132,0.000701107,0.000701107,0.000701107
31,3512.08,0.95835,0.80883,1.19908,0.88381,0.94949,0.965,0.70754,0.91202,0.71337,1.22501,0.0006678,0.0006678,0.0006678
32,3614.08,0.96479,0.77612,1.1818,0.95361,0.88889,0.96371,0.69126,0.95594,0.74563,1.21199,0.000634494,0.000634494,0.000634494
33,3717.3,0.9668,0.78336,1.18502,0.94579,0.88116,0.95389,0.679,0.95915,0.75559,1.20944,0.000601187,0.000601187,0.000601187
34,3818.79,0.95037,0.74449,1.19061,0.93641,0.88889,0.93529,0.65989,0.97743,0.74962,1.20384,0.00056788,0.00056788,0.00056788
35,3921.29,0.93217,0.71632,1.14752,0.9771,0.93939,0.97836,0.74693,0.85214,0.60066,1.13239,0.000534574,0.000534574,0.000534574
36,4023.2,0.90899,0.7199,1.17134,0.97741,0.9697,0.99124,0.72476,0.94922,0.59273,1.2162,0.000501267,0.000501267,0.000501267
37,4125.22,0.9116,0.72431,1.177,0.9974,0.94949,0.99215,0.72612,0.88715,0.59042,1.15447,0.00046796,0.00046796,0.00046796
38,4227.5,0.91588,0.72969,1.16309,0.97912,0.94757,0.98985,0.71433,0.90428,0.58624,1.17887,0.000434654,0.000434654,0.000434654
39,4329.68,0.95709,0.74405,1.1746,0.94932,0.94611,0.98757,0.72208,0.88951,0.6019,1.16412,0.000401347,0.000401347,0.000401347
40,4431.89,0.88836,0.74309,1.14011,0.95935,0.95366,0.98776,0.74719,0.81891,0.55682,1.12526,0.00036804,0.00036804,0.00036804
41,4533.62,0.78865,0.66728,1.08082,0.96901,0.94751,0.98291,0.75745,0.83483,0.60284,1.12008,0.000334734,0.000334734,0.000334734
42,4635.52,0.72523,0.56337,1.07559,0.98154,0.91919,0.98475,0.75596,0.81478,0.61785,1.10618,0.000301427,0.000301427,0.000301427
43,4740.49,0.74908,0.57006,1.0668,0.9928,0.89899,0.98155,0.76388,0.80086,0.58542,1.10227,0.00026812,0.00026812,0.00026812
